Ratings,Model,Year,Engine HP,Engine Cylinders,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,highway MPG,city mpg,"Vehicle Style",Sentiment,Compound_Score
1.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,1,0.0
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9818
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.999
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9888
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.3612
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.3612
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.907
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9403
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.956
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9886
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9504
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9752
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9571
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9422
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.7096
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9549
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.5096
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9371
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.98
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.6369
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.999
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9209
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9827
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.885
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9671
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,1,0.0
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.924
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.902
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9695
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.981
3.75,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.5984
4.375,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.883
2.875,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.5055
4.875,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8893
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9613
3.875,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9153
4.25,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9347
3.75,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.8767
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9729
4.875,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8462
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9844
4.5,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.5106
4.875,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9661
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9824
4.5,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9609
4.75,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.9477
4.875,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.9814
4.875,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.9011
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.992
4.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.833
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.6249
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9468
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9972
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9924
4.375,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9828
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,1,-0.0026
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9231
4.5,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9189
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9965
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9201
4.5,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.7855
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9753
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.5565
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9542
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9921
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.7717
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9862
4.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9938
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9808
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.6369
3.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.8779
4.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.8893
4.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9231
3.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,0,-0.2584
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9989
5.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9371
2.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9694
4.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9799
4.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9806
4.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.998
2.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9766
4.5,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9209
4.75,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9723
4.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.9913
4.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.4215
4.0,2,2015.0,241.0,4.0,0,4.0,6,2,33.0,22.0,6,2,0.4215
5.0,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.6249
4.0,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.91
5.0,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.7287
